,land,barr,mort,mcrun,A,He,Ho,Fis,Dps,Gst,Gstp,Djost
107,pan0,2250,75,8,8.3,0.617415703,0.6125,0.007958455,0.111400602,0.002125368,0.003358435,0.000904518
108,pan0,2250,75,9,8.9,0.704764531,0.702,0.004687687,0.102710674,0.001812483,0.006319523,0.002055874
109,pan0,2250,100,0,5,0.452991362,0.46194332,-0.027507855,0,-0.000625391,NA,0
110,pan0,2250,100,1,5.8,0.597242513,0.565765766,0.045158843,0,-0.000625391,NA,0
111,pan0,2250,100,2,4.6,0.375168299,0.378008299,0.00108827,0,-0.000625391,NA,0
112,pan0,2250,100,3,5.6,0.502651112,0.492694064,0.009850208,0,-0.000625391,NA,0
113,pan0,2250,100,4,6,0.458859864,0.454976303,0.006994407,0,-0.000625391,NA,0
114,pan0,2250,100,5,5.2,0.532567267,0.547211896,-0.025296346,0,-0.000625391,NA,0
115,pan0,2250,100,6,5.6,0.523038877,0.525270758,-0.010436504,0,-0.000625391,NA,0
116,pan0,3000,0,0,8.9,0.675111563,0.57525,0.145101089,0.049761236,0.1506965,0.012388225,0.00642152
117,pan0,3000,0,1,8.7,0.778822891,0.668625,0.140855887,0.036738506,0.142323491,0.608140937,0.140447263
118,pan0,3000,0,2,9.1,0.694560781,0.617125,0.123553902,0.052046703,0.12656082,0.244310228,0.051015337
119,pan0,3000,0,3,8.9,0.699631719,0.574875,0.176897579,0.037654494,0.186693008,0.420445564,0.072053257
120,pan0,3000,0,4,8.9,0.706855938,0.614375,0.130117171,0.047373596,0.124161978,0.462155714,0.089665982
121,pan0,3000,0,5,8.8,0.697985391,0.57275,0.181831878,0.040482955,0.188010714,0.195142917,0.039156106
122,pan0,3000,0,6,9.3,0.703884609,0.582625,0.164961474,0.036518817,0.181164277,0.188346723,0.028953873
123,pan0,3000,0,7,9,0.744968984,0.649125,0.128235621,0.041569444,0.134070305,0.486106619,0.106126251
124,pan0,3000,0,8,9.4,0.736056563,0.62475,0.151949796,0.038670213,0.150238263,0.44338549,0.097985033
125,pan0,3000,0,9,9.2,0.673406328,0.528,0.212850614,0.042554348,0.209298226,0.25756225,0.052015546
126,pan0,3000,25,0,8.8,0.721324219,0.626625,0.127513577,0.044502841,0.128756679,0.304374301,0.059912644
127,pan0,3000,25,1,8.7,0.745089766,0.605375,0.183464628,0.030833333,0.193571762,0.539274428,0.118604631
128,pan0,3000,25,2,9.4,0.747932734,0.62175,0.171634122,0.031954787,0.159433264,0.616241765,0.138063345
129,pan0,3000,25,3,9.3,0.745937344,0.659625,0.116607445,0.038319892,0.120193519,0.519295862,0.113338964
130,pan0,3000,25,4,9.3,0.754002344,0.6115,0.190618965,0.029314516,0.196849812,0.745239165,0.173345435
131,pan0,3000,25,5,9,0.688912813,0.610875,0.111228277,0.046791667,0.121505429,0.262767592,0.047375057
132,pan0,3000,25,6,9.2,0.718780625,0.60275,0.159461021,0.035951087,0.160070804,0.539785081,0.116091774
133,pan0,3000,25,7,9,0.739596094,0.616375,0.166731631,0.040888889,0.156155805,0.540514492,0.121948022
134,pan0,3000,25,8,8.9,0.713464922,0.60675,0.14695725,0.040800562,0.149152972,0.497436381,0.102863132
135,pan0,3000,25,9,9.4,0.718239531,0.589375,0.179287328,0.036954787,0.175119962,0.474989885,0.103254315
136,pan0,3000,50,0,9.1,0.721048594,0.617625,0.147118064,0.039876374,0.152701126,0.299275821,0.066793624
137,pan0,3000,50,1,9.3,0.7168075,0.6045,0.154860352,0.037311828,0.167561946,0.231709814,0.043439489
138,pan0,3000,50,2,8.3,0.668803672,0.56675,0.151163801,0.048614458,0.138660672,0.441329608,0.082807645
139,pan0,3000,50,3,8.8,0.685052109,0.563125,0.179676559,0.038977273,0.178025183,0.549720989,0.114498553
140,pan0,3000,50,4,8.6,0.723445234,0.614625,0.150156719,0.03619186,0.163399659,0.614143111,0.13674957
141,pan0,3000,50,5,9,0.662813125,0.5625,0.144624642,0.04825,0.134177401,0.217885862,0.036361673
142,pan0,3000,50,6,8.2,0.708704297,0.55075,0.230770665,0.031814024,0.216520192,0.622607577,0.139231087
143,pan0,3000,50,7,9.4,0.736171016,0.628875,0.143646615,0.03712766,0.154601407,0.381957863,0.084707241
144,pan0,3000,50,8,8.6,0.762935781,0.625625,0.180928115,0.031264535,0.180365775,0.708189315,0.163930214
145,pan0,3000,50,9,8.7,0.690393594,0.58875,0.144113631,0.04762931,0.136945604,0.387129575,0.075171002
146,pan0,3000,75,0,9.1,0.754177031,0.60175,0.202561885,0.025576923,0.196714749,0.740427668,0.170762567
147,pan0,3000,75,1,9.4,0.736195938,0.61475,0.167867844,0.037047872,0.165151142,0.460949473,0.102197678
148,pan0,3000,75,2,9.1,0.716186328,0.58775,0.175041305,0.034656593,0.179403063,0.542680641,0.114954827
149,pan0,3000,75,3,9.4,0.728902266,0.619875,0.150417049,0.037114362,0.143597887,0.566983957,0.12430051
150,pan0,3000,75,4,9.3,0.76366,0.646875,0.15497991,0.035174731,0.153643901,0.634689686,0.146433741
151,pan0,3000,75,5,9.3,0.72626125,0.609375,0.161001697,0.035376344,0.154734051,0.541344237,0.11844072
152,pan0,3000,75,6,9.3,0.729757969,0.581,0.197818532,0.030349462,0.202442163,0.399215873,0.073035259
153,pan0,3000,75,7,9,0.706491875,0.561625,0.202307489,0.032569444,0.195046735,0.421584871,0.077993254
154,pan0,3000,75,8,8.6,0.722740859,0.62675,0.127751605,0.044622093,0.136723462,0.396433709,0.080204443
155,pan0,3000,75,9,9.3,0.756759297,0.65275,0.139042127,0.036505376,0.135359941,0.449002128,0.098633325
156,pan0,3000,100,0,9,0.770583047,0.64375,0.164107585,0.0305,0.163545814,0.613680966,0.141538112
157,pan0,3000,100,1,9.1,0.686906563,0.54975,0.200500962,0.035934066,0.204144753,0.572428693,0.121705483
158,pan0,3000,100,2,8.7,0.704566563,0.618,0.120606273,0.04408046,0.138666023,0.505197714,0.10636679
159,pan0,3000,100,3,9.4,0.788233203,0.65075,0.178741268,0.025757979,0.170056383,0.726898246,0.172083967
160,pan0,3000,100,4,9.3,0.711270078,0.614,0.135610682,0.044247312,0.134943624,0.394696835,0.077078721
161,pan0,3000,100,5,9.1,0.73447125,0.615125,0.162757397,0.039258242,0.15416648,0.299713289,0.064378167
162,pan0,3000,100,6,8.7,0.698821406,0.584125,0.15786056,0.040991379,0.16330595,0.413986332,0.069529866
163,pan0,3000,100,7,8.7,0.761507891,0.673625,0.116454001,0.041594828,0.124081471,0.538347748,0.121820369
164,pan0,3000,100,8,9.6,0.743564844,0.632125,0.149442465,0.037473958,0.153462416,0.489620871,0.105494413
165,pan0,3000,100,9,8.7,0.700428281,0.598875,0.149235826,0.048146552,0.144529953,0.428704027,0.089612499
166,ibd1,0,0,0,8.8,0.725982578,0.694625,0.041994516,0.090809659,0.011852726,0.052627878,0.011683603
167,ibd1,0,0,1,9.2,0.692576617,0.659473024,0.047343873,0.085625,0.016909325,0.021097108,0.004244657
168,ibd1,0,0,2,8.8,0.697959609,0.673,0.034976907,0.092713068,0.011564134,0.034123591,0.007851363
169,ibd1,0,0,3,8.9,0.687318281,0.66575,0.030584924,0.088398876,0.017055153,0.030582998,0.004585235
170,ibd1,0,0,4,8.9,0.693273359,0.660875,0.047716068,0.092345506,0.009858341,0.02676967,0.006376259
171,ibd1,0,0,5,8.9,0.689133516,0.66025,0.041654978,0.091882022,0.011822738,0.027289124,0.006578797
172,ibd1,0,0,6,8.8,0.695121797,0.67375,0.030096129,0.091846591,0.013525913,0.047599547,0.01003535
173,ibd1,0,0,7,9.3,0.687637422,0.663875,0.034339511,0.087177419,0.012062282,0.037022318,0.007942338
174,ibd1,0,0,8,8.5,0.691418438,0.663625,0.042152585,0.096382353,0.010518893,0.022897827,0.003836673
175,ibd1,0,0,9,9.2,0.725469453,0.69475,0.04264566,0.0871875,0.011937796,0.035517266,0.00844931
176,ibd1,0,25,0,8.7,0.632195469,0.604625,0.045902419,0.096752874,0.011612309,0.016503092,0.003318171
177,ibd1,0,25,1,9.1,0.746106641,0.723875,0.029727768,0.085508242,0.014726004,0.07320568,0.016500554
178,ibd1,0,25,2,9.1,0.760999688,0.733125,0.037299335,0.088461538,0.010140122,0.028868947,0.007443127
179,ibd1,0,25,3,9,0.698944766,0.67325,0.036592267,0.090513889,0.01020898,0.03528622,0.007848103
180,ibd1,0,25,4,8.4,0.736324453,0.696125,0.055170624,0.091755952,0.0211071,0.058517292,0.013498881
181,ibd1,0,25,5,8.8,0.730223828,0.7055,0.033088057,0.087926136,0.018781879,0.03694913,0.009996088
182,ibd1,0,25,6,8.7,0.717224922,0.687875,0.042415192,0.086853448,0.018487449,0.076353366,0.016542307
183,ibd1,0,25,7,8.7,0.687318281,0.643875,0.063474839,0.084727011,0.025115226,0.081647846,0.016974848
184,ibd1,0,25,8,9.1,0.739223438,0.699125,0.054972132,0.081483516,0.022432491,0.081961061,0.019474932
185,ibd1,0,25,9,9.4,0.729446563,0.700875,0.039080529,0.078696809,0.024231801,0.088214672,0.019533679
186,ibd1,0,50,0,9.4,0.708951953,0.668,0.056647594,0.075332447,0.030155771,0.080481567,0.017198278
