"","land","barr","mort","mean","sd","meann","ngen"
"333","ibr42",750,50,0.0088,0.0002,662,500
"334","ibr42",750,75,0.0047,0.0001,661,500
"335","ibr42",750,100,0,0,659,500
"336","ibr42",1500,0,0.0049,0.0001,662,500
"337","ibr42",1500,25,0.0038,0.0001,662,500
"338","ibr42",1500,50,0.0025,0.0001,663,500
"339","ibr42",1500,75,0.0014,0,662,500
"340","ibr42",1500,100,0,0,661,500
"341","ibr42",2250,0,0.0007,0,660,500
"342","ibr42",2250,25,0.0006,0,663,500
"343","ibr42",2250,50,0.0004,0,662,500
"344","ibr42",2250,75,0.0002,0,662,500
"345","ibr42",2250,100,0,0,662,500
"346","ibr42",3000,0,0,0,663,500
"347","ibr42",3000,25,0,0,662,500
"348","ibr42",3000,50,0,0,662,500
"349","ibr42",3000,75,0,0,662,500
"350","ibr42",3000,100,0,0,662,500
"351","ibr43",0,0,0.0023,0.0006,452,500
"352","ibr43",0,25,0.0008,0.0002,449,500
"353","ibr43",0,50,0.0004,0.0001,447,500
"354","ibr43",0,75,0.0002,0,448,500
"355","ibr43",0,100,0,0,448,500
"356","ibr43",750,0,0.0013,0.0004,452,500
"357","ibr43",750,25,0.0005,0.0001,449,500
"358","ibr43",750,50,0.0003,0.0001,449,500
"359","ibr43",750,75,0.0002,0,448,500
"360","ibr43",750,100,0,0,449,500
"361","ibr43",1500,0,0.0002,0.0001,449,500
"362","ibr43",1500,25,0.0002,0,449,500
"363","ibr43",1500,50,0.0001,0.0001,449,500
"364","ibr43",1500,75,0.0001,0,448,500
"365","ibr43",1500,100,0,0,449,500
"366","ibr43",2250,0,0.0001,0,449,500
"367","ibr43",2250,25,0.0001,0,449,500
"368","ibr43",2250,50,0,0,450,500
"369","ibr43",2250,75,0,0,448,500
"370","ibr43",2250,100,0,0,449,500
"371","ibr43",3000,0,0,0,448,500
"372","ibr43",3000,25,0,0,448,500
"373","ibr43",3000,50,0,0,449,500
"374","ibr43",3000,75,0,0,449,500
"375","ibr43",3000,100,0,0,449,500
"376","ibr44",0,0,0.0375,0.0002,713,500
"377","ibr44",0,25,0.0297,0.0003,703,500
"378","ibr44",0,50,0.0183,0.0003,668,500
"379","ibr44",0,75,0.0078,0.0003,641,500
"380","ibr44",0,100,0,0,606,500
"381","ibr44",750,0,0.0226,0.0001,711,500
"382","ibr44",750,25,0.0174,0.0002,705,500
"383","ibr44",750,50,0.0119,0.0002,691,500
"384","ibr44",750,75,0.0056,0.0001,669,500
"385","ibr44",750,100,0,0,656,500
"386","ibr44",1500,0,0.0079,0.0001,708,500
"387","ibr44",1500,25,0.0061,0.0002,706,500
"388","ibr44",1500,50,0.0042,0.0001,702,500
"389","ibr44",1500,75,0.0022,0.0001,697,500
"390","ibr44",1500,100,0,0,684,500
"391","ibr44",2250,0,0.0014,0.0001,705,500
"392","ibr44",2250,25,0.0011,0,705,500
"393","ibr44",2250,50,0.0008,0.0001,703,500
"394","ibr44",2250,75,0.0004,0,702,500
"395","ibr44",2250,100,0,0,700,500
"396","ibr44",3000,0,0,0,702,500
"397","ibr44",3000,25,0,0,701,500
"398","ibr44",3000,50,0,0,701,500
"399","ibr44",3000,75,0,0,703,500
"400","ibr44",3000,100,0,0,702,500
"401","ibr45",0,0,0.0467,0.0004,654,500
"402","ibr45",0,25,0.0366,0.0004,653,500
"403","ibr45",0,50,0.0254,0.0003,652,500
"404","ibr45",0,75,0.0131,0.0001,649,500
"405","ibr45",0,100,0,0,645,500
"406","ibr45",750,0,0.0261,0.0003,655,500
"407","ibr45",750,25,0.0204,0.0002,652,500
"408","ibr45",750,50,0.014,0.0002,652,500
"409","ibr45",750,75,0.0072,0.0002,650,500
"410","ibr45",750,100,0,0,650,500
"411","ibr45",1500,0,0.0093,0.0002,653,500
"412","ibr45",1500,25,0.0071,0.0001,652,500
"413","ibr45",1500,50,0.0049,0.0001,652,500
"414","ibr45",1500,75,0.0026,0.0001,652,500
"415","ibr45",1500,100,0,0,655,500
"416","ibr45",2250,0,0.0012,0,653,500
"417","ibr45",2250,25,0.0009,0.0001,654,500
"418","ibr45",2250,50,0.0006,0,654,500
"419","ibr45",2250,75,0.0003,0,654,500
"420","ibr45",2250,100,0,0,653,500
"421","ibr45",3000,0,0,0,652,500
"422","ibr45",3000,25,0,0,653,500
"423","ibr45",3000,50,0,0,655,500
"424","ibr45",3000,75,0,0,654,500
"425","ibr45",3000,100,0,0,653,500
"426","ibr46",0,0,0.0341,0.0002,635,500
"427","ibr46",0,25,0.0267,0.0002,632,500
"428","ibr46",0,50,0.0189,0.0001,629,500
"429","ibr46",0,75,0.0099,0.0001,621,500
"430","ibr46",0,100,0,0,603,500
"431","ibr46",750,0,0.0195,0.0003,634,500
"432","ibr46",750,25,0.0152,0.0002,632,500
"433","ibr46",750,50,0.0106,0.0002,630,500
"434","ibr46",750,75,0.0055,0.0001,630,500
"435","ibr46",750,100,0,0,623,500
"436","ibr46",1500,0,0.0062,0.0001,632,500
"437","ibr46",1500,25,0.0048,0.0001,632,500
"438","ibr46",1500,50,0.0034,0.0001,631,500
"439","ibr46",1500,75,0.0017,0.0001,629,500
"440","ibr46",1500,100,0,0,630,500
"441","ibr46",2250,0,0.0009,0,631,500
"442","ibr46",2250,25,0.0006,0,632,500
"443","ibr46",2250,50,0.0004,0,631,500
"444","ibr46",2250,75,0.0002,0,632,500
"445","ibr46",2250,100,0,0,631,500
"446","ibr46",3000,0,0,0,631,500
"447","ibr46",3000,25,0,0,631,500
"448","ibr46",3000,50,0,0,632,500
"449","ibr46",3000,75,0,0,632,500
"450","ibr46",3000,100,0,0,632,500
"451","ibr47",0,0,0.0498,0.0003,623,500
"452","ibr47",0,25,0.0388,0.0003,623,500
"453","ibr47",0,50,0.027,0.0003,622,500
"454","ibr47",0,75,0.0139,0.0002,621,500
"455","ibr47",0,100,0,0,618,500
"456","ibr47",750,0,0.028,0.0003,623,500
"457","ibr47",750,25,0.0218,0.0003,623,500
"458","ibr47",750,50,0.015,0.0002,622,500
"459","ibr47",750,75,0.0077,0.0002,622,500
"460","ibr47",750,100,0,0,621,500
"461","ibr47",1500,0,0.01,0.0002,623,500
"462","ibr47",1500,25,0.0078,0.0002,623,500
"463","ibr47",1500,50,0.0054,0.0001,622,500
"464","ibr47",1500,75,0.0027,0.0001,623,500
"465","ibr47",1500,100,0,0,622,500
"466","ibr47",2250,0,0.0015,0.0001,623,500
"467","ibr47",2250,25,0.0011,0.0001,623,500
"468","ibr47",2250,50,0.0008,0.0001,623,500
"469","ibr47",2250,75,0.0004,0,623,500
"470","ibr47",2250,100,0,0,623,500
"471","ibr47",3000,0,0,0,623,500
"472","ibr47",3000,25,0,0,623,500
"473","ibr47",3000,50,0,0,623,500
"474","ibr47",3000,75,0,0,622,500
"475","ibr47",3000,100,0,0,623,500
"476","ibr48",0,0,0.0311,0.0002,647,500
"477","ibr48",0,25,0.0241,0.0002,646,500
"478","ibr48",0,50,0.0164,0.0001,638,500
"479","ibr48",0,75,0.0084,0.0002,628,500
"480","ibr48",0,100,0,0,612,500
"481","ibr48",750,0,0.0196,0.0002,647,500
"482","ibr48",750,25,0.0152,0.0002,645,500
"483","ibr48",750,50,0.0104,0.0001,639,500
"484","ibr48",750,75,0.0052,0.0001,635,500
"485","ibr48",750,100,0,0,626,500
"486","ibr48",1500,0,0.0064,0.0001,644,500
"487","ibr48",1500,25,0.0049,0.0002,643,500
"488","ibr48",1500,50,0.0034,0.0001,642,500
"489","ibr48",1500,75,0.0018,0.0001,640,500
"490","ibr48",1500,100,0,0,635,500
"491","ibr48",2250,0,0.0007,0,640,500
"492","ibr48",2250,25,0.0006,0,640,500
"493","ibr48",2250,50,0.0004,0,641,500
"494","ibr48",2250,75,0.0002,0,642,500
"495","ibr48",2250,100,0,0,642,500
"496","ibr48",3000,0,0,0,639,500
"497","ibr48",3000,25,0,0,640,500
"498","ibr48",3000,50,0,0,640,500
"499","ibr48",3000,75,0,0,640,500
"500","ibr48",3000,100,0,0,640,500
"501","ibr49",0,0,0.0267,0.0003,654,500
"502","ibr49",0,25,0.0209,0.0003,648,500
"503","ibr49",0,50,0.0141,0.0002,637,500
"504","ibr49",0,75,0.0072,0.0002,619,500
"505","ibr49",0,100,0,0,592,500
"506","ibr49",750,0,0.0178,0.0001,653,500
"507","ibr49",750,25,0.0137,0.0002,648,500
"508","ibr49",750,50,0.0097,0.0002,642,500
"509","ibr49",750,75,0.0051,0.0001,632,500
"510","ibr49",750,100,0,0,615,500
"511","ibr49",1500,0,0.006,0.0002,648,500
"512","ibr49",1500,25,0.0047,0.0001,647,500
"513","ibr49",1500,50,0.0033,0.0001,644,500
"514","ibr49",1500,75,0.0019,0.0001,639,500
"515","ibr49",1500,100,0,0,632,500
"516","ibr49",2250,0,0.001,0.0001,644,500
"517","ibr49",2250,25,0.0008,0.0001,643,500
"518","ibr49",2250,50,0.0006,0.0001,643,500
"519","ibr49",2250,75,0.0003,0,641,500
"520","ibr49",2250,100,0,0,639,500
"521","ibr49",3000,0,0,0,639,500
"522","ibr49",3000,25,0,0,640,500
"523","ibr49",3000,50,0,0,641,500
"524","ibr49",3000,75,0,0,640,500
"525","ibr49",3000,100,0,0,639,500
"526","pan0",0,0,0.5001,0.0008,800,500
"527","pan0",0,25,0.4285,0.0004,800,500
"528","pan0",0,50,0.2596,0.0165,220,19
"529","pan0",0,75,0.0928,0.0192,215,9
"530","pan0",0,100,0,0,225,6
"531","pan0",750,0,0.429,0.0009,800,500
"532","pan0",750,25,0.3608,0.0005,800,500
"533","pan0",750,50,0.2253,0.012,256,29
"534","pan0",750,75,0.0993,0.0172,205,12
"535","pan0",750,100,0,0,180,9
"536","pan0",1500,0,0.3352,0.0007,800,500
"537","pan0",1500,25,0.2741,0.0007,800,500
"538","pan0",1500,50,0.1996,0.002,679,467
"539","pan0",1500,75,0.0866,0.0155,199,21
"540","pan0",1500,100,0,0,153,16
"541","pan0",2250,0,0.2039,0.0004,800,500
"542","pan0",2250,25,0.1615,0.0006,800,500
"543","pan0",2250,50,0.1142,0.0006,800,500
"544","pan0",2250,75,0.0606,0.0003,793,500
"545","pan0",2250,100,0,0,256,361
"546","pan0",3000,0,0,0,800,500
"547","pan0",3000,25,0,0,800,500
"548","pan0",3000,50,0,0,800,500
"549","pan0",3000,75,0,0,800,500
"550","pan0",3000,100,0,0,800,500
