"","x","y","land","barr","mort","lr","road","N","cost","A"
"58141",-0.207523391651113,0.0563104735967024,"ibr46",-0.0725632275457418,-0.767919455723426,"ibr46_750_0","750_0",1.21585479345538,"-0.392311171551987",5.81
"58142",-0.207523391651113,0.0563104735967024,"ibr46",1.31020706185395,-0.767919455723426,"ibr46_2250_0","2250_0",0.51429730421513,"-0.392311171551987",5.11
"58143",-0.207523391651113,0.0563104735967024,"ibr47",-0.76394837224559,1.99604836461208,"ibr47_0_100","0_100",2.10683280479049,"-0.392311171551987",6.04
"58144",-0.207523391651113,0.0563104735967024,"ibr47",-0.76394837224559,-0.767919455723426,"ibr47_0_0","0_0",2.1278795294677,"-0.392311171551987",6.4
"58145",-0.207523391651113,0.0563104735967024,"ibr47",-0.76394837224559,1.30505640952821,"ibr47_0_75","0_75",2.10683280479049,"-0.392311171551987",6.2
"58146",-0.207523391651113,0.0563104735967024,"ibr47",0.618821917154106,-0.767919455723426,"ibr47_1500_0","1500_0",0.865076048835253,"-0.392311171551987",5.97
"58147",-0.207523391651113,0.0563104735967024,"ibr47",2.0015922065538,-0.767919455723426,"ibr47_3000_0","3000_0",0.654608802063179,"-0.392311171551987",3.82
"58148",-0.207523391651113,0.0563104735967024,"ibr47",-0.0725632275457418,-0.767919455723426,"ibr47_750_0","750_0",1.42632204022745,"-0.392311171551987",6.13
"58149",-0.207523391651113,0.0563104735967024,"ibr47",-0.76394837224559,-0.0769275006395489,"ibr47_0_25","0_25",2.1278795294677,"-0.392311171551987",6.19
"58150",-0.207523391651113,0.0563104735967024,"ibr47",1.31020706185395,-0.767919455723426,"ibr47_2250_0","2250_0",0.654608802063179,"-0.392311171551987",5.31
"58151",-0.207523391651113,0.0563104735967024,"ibr47",-0.76394837224559,0.614064454444328,"ibr47_0_50","0_50",2.1278795294677,"-0.392311171551987",6.16
"58152",-0.207523391651113,0.0563104735967024,"ibr48",-0.76394837224559,-0.0769275006395489,"ibr48_0_25","0_25",-1.53425056436639,"2.54858029460427",4.47
"58153",-0.207523391651113,0.0563104735967024,"ibr48",-0.76394837224559,1.30505640952821,"ibr48_0_75","0_75",-1.58035291365932,"2.54858029460427",4.65714285714286
"58154",-0.207523391651113,0.0563104735967024,"ibr48",-0.76394837224559,-0.767919455723426,"ibr48_0_0","0_0",-1.52898888319709,"2.54858029460427",4.75
"58155",-0.207523391651113,0.0563104735967024,"ibr48",-0.76394837224559,0.614064454444328,"ibr48_0_50","0_50",-1.57634401372081,"2.54858029460427",4.5
"58156",-0.207523391651113,0.0563104735967024,"ibr48",-0.76394837224559,1.99604836461208,"ibr48_0_100","0_100",-1.66053091242964,"2.54858029460427",3.4
"58157",-0.207523391651113,0.0563104735967024,"ibr48",1.31020706185395,-0.767919455723426,"ibr48_2250_0","2250_0",-1.66053091242964,"2.54858029460427",3.725
"58158",-0.207523391651113,0.0563104735967024,"ibr48",2.0015922065538,-0.767919455723426,"ibr48_3000_0","3000_0",-1.66053091242964,"2.54858029460427",3.57142857142857
"58159",-0.207523391651113,0.0563104735967024,"ibr48",0.618821917154106,-0.767919455723426,"ibr48_1500_0","1500_0",-1.66053091242964,"2.54858029460427",4.2
"58160",-0.207523391651113,0.0563104735967024,"ibr48",-0.0725632275457418,-0.767919455723426,"ibr48_750_0","750_0",-1.66053091242964,"2.54858029460427",4.2625
"59621",-0.207523391651113,1.24180206171114,"ibr41",-0.76394837224559,0.614064454444328,"ibr41_0_50","0_50",0.0232070617469571,"-0.392311171551987",5.16666666666667
"59622",-0.207523391651113,1.24180206171114,"ibr41",-0.76394837224559,-0.0769275006395489,"ibr41_0_25","0_25",0.0161914868545545,"-0.392311171551987",5.27
"59623",-0.207523391651113,1.24180206171114,"ibr41",-0.0725632275457418,-0.767919455723426,"ibr41_750_0","750_0",-0.327571682873166,"-0.392311171551987",4.97
"59624",-0.207523391651113,1.24180206171114,"ibr41",1.31020706185395,-0.767919455723426,"ibr41_2250_0","2250_0",-0.832693075126144,"-0.392311171551987",4.29
"59625",-0.207523391651113,1.24180206171114,"ibr41",2.0015922065538,-0.767919455723426,"ibr41_3000_0","3000_0",-0.818661925341339,"-0.392311171551987",3.2
"59626",-0.207523391651113,1.24180206171114,"ibr41",0.618821917154106,-0.767919455723426,"ibr41_1500_0","1500_0",-0.67835042749329,"-0.392311171551987",4.89
"59627",-0.207523391651113,1.24180206171114,"ibr41",-0.76394837224559,1.30505640952821,"ibr41_0_75","0_75",0.0161914868545545,"-0.392311171551987",5.06
"59628",-0.207523391651113,1.24180206171114,"ibr41",-0.76394837224559,-0.767919455723426,"ibr41_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.38
"59629",-0.207523391651113,1.24180206171114,"ibr41",-0.76394837224559,1.99604836461208,"ibr41_0_100","0_100",-0.179465101811337,"-0.392311171551987",5.07777777777778
"59630",-0.207523391651113,1.24180206171114,"ibr42",-0.0725632275457418,-0.767919455723426,"ibr42_750_0","750_0",-0.327571682873166,"-0.392311171551987",5.28
"59631",-0.207523391651113,1.24180206171114,"ibr42",1.31020706185395,-0.767919455723426,"ibr42_2250_0","2250_0",-0.818661925341339,"-0.392311171551987",4.7
"59632",-0.207523391651113,1.24180206171114,"ibr42",-0.76394837224559,1.99604836461208,"ibr42_0_100","0_100",-0.0048552378226527,"-0.392311171551987",5.65
"59633",-0.207523391651113,1.24180206171114,"ibr42",-0.76394837224559,1.30505640952821,"ibr42_0_75","0_75",0.0232070617469571,"-0.392311171551987",5.38
"59634",-0.207523391651113,1.24180206171114,"ibr42",-0.76394837224559,-0.767919455723426,"ibr42_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.49
